Year,Month,City_ID,Unemployment_Rate (%),House_Prices_Index_Value,Household_Expenditure_CPI,Median_Income
2022,8,7,4.5,113,151.5,6730
2022,9,7,4.7,113,151.6,6730
2022,10,7,5,113.3,151.6,6730
2022,11,7,4.9,113.3,151.8,6730
2022,12,7,4.8,113.3,151.5,6730
2023,1,6,6.4,110.4,146.6,7573.333333
2023,2,6,6.6,110.4,146.4,7573.333333
2023,3,6,6.8,110.4,145.5,7573.333333
2023,4,6,8.9,110.7,144.2,7573.333333
2023,5,6,10.5,110.7,142.7,7573.333333
2023,6,6,11.9,110.7,143.8,7573.333333
2023,7,6,10.9,112.8,143.3,7573.333333
2023,8,6,10.1,112.8,143.3,7573.333333
2023,9,6,8.4,112.8,144.5,7573.333333
2023,10,6,7.7,115.1,145.3,7573.333333
2023,11,6,6.6,115.1,146.5,7573.333333
2023,12,6,7.3,115.1,147.9,7573.333333
2023,1,2,6,109.5,128.2,7785
2023,2,2,5.5,109.5,127.4,7785
2023,3,2,6.4,109.5,126.8,7785
2023,4,2,10.5,110.3,125.3,7785
2023,5,2,14,110.3,124.7,7785
2023,6,2,15.1,110.3,124.4,7785
2023,7,2,13,113.1,124.6,7785
2023,8,2,11.8,113.1,124.7,7785
2023,9,2,10.7,113.1,124.3,7785
2023,10,2,9.6,114.9,124.6,7785
2023,11,2,8.5,114.9,124.5,7785
2023,12,2,8.1,114.9,125.6,7785
2023,1,4,4.2,114.4,158.7,8970
2023,2,4,4.2,114.4,158.5,8970
2023,3,4,4.9,114.4,155.6,8970
2023,4,4,6.3,116.3,147.7,8970
2023,5,4,7.7,116.3,147.5,8970
2023,6,4,9,116.3,158.4,8970
2023,7,4,9.2,118.9,158.4,8970
2023,8,4,9.5,118.9,158.4,8970
2023,9,4,8.7,118.9,158.4,8970
2023,10,4,8.2,124.5,165.9,8970
2023,11,4,7.1,124.5,166.8,8970
2023,12,4,6.6,124.5,167,8970
2023,1,1,5.5,114.4,165.5,6914.166667
2023,2,1,5.4,114.4,165.3,6914.166667
2023,3,1,6,114.4,161.2,6914.166667
2023,4,1,7.9,116.3,154,6914.166667
2023,5,1,11.2,116.3,153.7,6914.166667
2023,6,1,13.6,116.3,163.2,6914.166667
2023,7,1,14.7,118.9,164.2,6914.166667
2023,8,1,13.9,118.9,164.2,6914.166667
2023,9,1,12.8,118.9,164.2,6914.166667
2023,10,1,11.5,124.5,172.2,6914.166667
2023,11,1,10.7,124.5,172.7,6914.166667
2023,12,1,10.7,124.5,173,6914.166667
2023,1,8,5.4,,,7749.166667
2023,2,8,5.5,,,7749.166667
2023,3,8,6,,,7749.166667
2023,4,8,7.8,,,7749.166667
2023,5,8,10.3,,,7749.166667
2023,6,8,12.2,,,7749.166667
2023,7,8,12.9,,,7749.166667
2023,8,8,12.9,,,7749.166667
2023,9,8,12.2,,,7749.166667
2023,10,8,10.8,,,7749.166667
2023,11,8,9.1,,,7749.166667
2023,12,8,8.5,,,7749.166667
2023,1,9,5.2,114.4,136.9,7004.166667
2023,2,9,4.9,114.4,136.3,7004.166667
2023,3,9,5.5,114.4,136.2,7004.166667
2023,4,9,7.7,116.3,140,7004.166667
2023,5,9,10.3,116.3,139.8,7004.166667
2023,6,9,11.7,116.3,139.9,7004.166667
2023,7,9,11.1,118.9,140.1,7004.166667
2023,8,9,10.4,118.9,140.7,7004.166667
2023,9,9,9.4,118.9,140.6,7004.166667
2023,10,9,8.7,124.5,140.7,7004.166667
2023,11,9,8.1,124.5,147,7004.166667
2023,12,9,8.4,124.5,148.9,7004.166667
2023,1,10,6.7,114.4,166.6,8374.166667
2023,2,10,6.6,114.4,166.1,8374.166667
2023,3,10,7.2,114.4,166.1,8374.166667
2023,4,10,8.6,116.3,168.1,8374.166667
2023,5,10,10.6,116.3,167.9,8374.166667
2023,6,10,11.6,116.3,168.1,8374.166667
2023,7,10,10.5,118.9,168.1,8374.166667
2023,8,10,9.3,118.9,168.2,8374.166667
2023,9,10,7.4,118.9,168,8374.166667
2023,10,10,6.1,124.5,168.1,8374.166667
2023,11,10,5.4,124.5,168.2,8374.166667
2023,12,10,6.3,124.5,168.3,8374.166667
2023,1,3,7.2,114.4,174,8143.333333
2023,2,3,7.4,114.4,174.1,8143.333333
2023,3,3,8.6,114.4,172.9,8143.333333
2023,4,3,10.8,116.3,172.4,8143.333333
2023,5,3,13.4,116.3,173.8,8143.333333
2023,6,3,15.6,116.3,173.3,8143.333333
2023,7,3,15.5,118.9,173.2,8143.333333
2023,8,3,14.4,118.9,173.2,8143.333333
2023,9,3,12.6,118.9,175,8143.333333
2023,10,3,11.3,124.5,175,8143.333333
2023,11,3,10.7,124.5,176,8143.333333
2023,12,3,10.4,124.5,176.3,8143.333333
2023,1,5,8.2,114.4,219.9,8501.666667
2023,2,5,7.8,114.4,221.2,8501.666667
2023,3,5,7.9,114.4,207.6,8501.666667
2023,4,5,10,116.3,210.1,8501.666667
2023,5,5,13.6,116.3,212.5,8501.666667
2023,6,5,15.7,116.3,211.8,8501.666667
2023,7,5,15,118.9,215.4,8501.666667
2023,8,5,13.6,118.9,213.6,8501.666667
2023,9,5,12.6,118.9,224.5,8501.666667
2023,10,5,12,124.5,216.6,8501.666667
2023,11,5,11.3,124.5,219.9,8501.666667
2023,12,5,11.1,124.5,220.5,8501.666667
2023,1,7,4.5,114.4,151.8,7390.833333
2023,2,7,4.4,114.4,151.7,7390.833333
2023,3,7,5.3,114.4,151.4,7390.833333
2023,4,7,7.5,116.3,150.5,7390.833333
2023,5,7,10.7,116.3,150.3,7390.833333
2023,6,7,13.1,116.3,150.5,7390.833333
2023,7,7,13.3,118.9,150.5,7390.833333
2023,8,7,12.8,118.9,154.1,7390.833333
2023,9,7,11.1,118.9,154.1,7390.833333
2023,10,7,9.7,124.5,156.7,7390.833333
2023,11,7,8.1,124.5,156.9,7390.833333
2023,12,7,7.4,124.5,156.8,7390.833333
